Model,User_ID,Mean_User_Accuracy,Sample_Count,Folds_Processed
RandomForest,6,0.7352112676056338,1420,5
RandomForest,38,0.6152941176470589,850,5
RandomForest,49,0.6834835062214483,1409,5
RandomForest,77,0.7696309378489988,1389,5
RandomForest,12,0.625335688128198,1388,5
RandomForest,33,0.6819239986306058,1267,5
RandomForest,56,0.6578457542745834,833,5
RandomForest,68,0.7014285714285714,1400,5
RandomForest,37,0.5887938408896493,839,5
RandomForest,9,0.49196715927750406,872,5
RandomForest,95,0.5715927072583419,852,5
RandomForest,73,0.7031028551771586,852,5
RandomForest,28,0.5567251461988303,855,5
RandomForest,16,0.739306049822064,1404,5
RandomForest,67,0.7417142857142858,875,5
RandomForest,59,0.46575008701705534,848,5
RandomForest,81,0.7453685815963397,1402,5
RandomForest,2,0.7428749364514489,1404,5
RandomForest,23,0.8013789189956022,1329,5
RandomForest,78,0.4781609195402298,870,5
RandomForest,46,0.44812391228680826,848,5
RandomForest,7,0.6750607553366175,871,5
RandomForest,39,0.658675506130596,838,5
RandomForest,84,0.6078293773649811,854,5
RandomForest,62,0.5751189990480077,859,5
RandomForest,43,0.7926099795562959,1408,5
RandomForest,18,0.7826086956521738,1380,5
RandomForest,26,0.713394777265745,1399,5
RandomForest,57,0.7253905408317173,1362,5
RandomForest,69,0.6799868637110017,872,5
RandomForest,32,0.8278589636808764,1406,5
RandomForest,13,0.7959964412811388,1402,5
RandomForest,48,0.5854228970170998,808,5
RandomForest,76,0.7929763739085773,884,5
RandomForest,90,0.6446493506493506,878,5
RandomForest,29,0.820093839249286,856,5
RandomForest,17,0.5927245793504388,1338,5
RandomForest,72,0.703131087223144,832,5
RandomForest,94,0.47514450867052027,865,5
RandomForest,53,0.3962160302717578,853,5
RandomForest,8,0.6593523636455416,1409,5
RandomForest,79,0.7471223758320532,1396,5
RandomForest,47,0.5805380984831277,1409,5
RandomForest,22,0.48897295503567284,1227,5
RandomForest,3,0.5149425287356322,870,5
RandomForest,80,0.6235927935101777,1416,5
RandomForest,66,0.5681642036124794,873,5
RandomForest,54,0.5875000000000001,880,5
RandomForest,31,0.772357910906298,1397,5
RandomForest,10,0.41828799316336707,593,5
RandomForest,75,0.6709445346948248,1392,5
RandomForest,93,0.4165680473372781,845,5
RandomForest,87,0.7330985915492958,1420,5
RandomForest,61,0.613314961688399,861,5
RandomForest,98,0.8590357011409642,1426,5
RandomForest,40,0.6680851063829787,1410,5
RandomForest,25,0.6542814894475064,862,5
RandomForest,44,0.6485507246376812,1380,5
RandomForest,0,0.8067588903089993,1413,5
RandomForest,83,0.7783808343659644,1349,5
RandomForest,65,0.6893628330343499,866,5
RandomForest,14,0.4228203358638142,809,5
RandomForest,97,0.5412474911224333,1273,5
RandomForest,50,0.5407021433850703,823,5
RandomForest,88,0.6252541942043721,1401,5
RandomForest,35,0.7056342896647079,1318,5
RandomForest,92,0.6135500821018062,872,5
RandomForest,74,0.5197002285253395,862,5
RandomForest,11,0.7337343728995833,864,5
RandomForest,30,0.4505882352941176,850,5
RandomForest,55,0.6851305255830142,848,5
RandomForest,24,0.6537077175697865,872,5
RandomForest,41,0.44991445680068437,838,5
RandomForest,99,0.6751445086705201,865,5
RandomForest,60,0.8025693445395119,1408,5
RandomForest,86,0.7094423791821561,1349,5
RandomForest,5,0.587575576373663,868,5
RandomForest,64,0.4452096273291925,802,5
RandomForest,82,0.7210110967463909,1362,5
RandomForest,1,0.5842070294332602,868,5
RandomForest,20,0.7449498465743535,1392,5
RandomForest,45,0.7814419432196179,1391,5
RandomForest,34,0.5428571428571429,805,5
RandomForest,89,0.5177733990147784,871,5
RandomForest,96,0.8089786535303777,874,5
RandomForest,70,0.5781443823080834,1401,5
RandomForest,15,0.7408089617322006,1412,5
DecisionTree,91,0.42911392405063287,790,5
DecisionTree,52,0.2806535947712418,677,5
DecisionTree,36,0.36589147286821705,645,5
DecisionTree,58,0.6185476437377578,1316,5
DecisionTree,4,0.7493860891857249,1217,5
DecisionTree,21,0.47732994816460383,687,5
DecisionTree,71,0.6247778537252221,661,5
DecisionTree,51,0.6510252333781745,1109,5
DecisionTree,19,0.48718890248878005,858,5
DecisionTree,27,0.436321845051035,1389,5
DecisionTree,42,0.46321839080459776,870,5
DecisionTree,63,0.7272241992882563,1404,5
DecisionTree,85,0.6174123029994917,1401,5
DecisionTree,6,0.7035211267605634,1420,5
DecisionTree,38,0.5117647058823529,850,5
DecisionTree,49,0.5720552232402009,1409,5
DecisionTree,77,0.7285847856011219,1389,5
DecisionTree,12,0.5338389216424694,1388,5
DecisionTree,33,0.5966947807413401,1267,5
DecisionTree,56,0.5330279200634874,833,5
DecisionTree,68,0.5792857142857143,1400,5
DecisionTree,37,0.4696107784431137,839,5
DecisionTree,9,0.37387192118226603,872,5
DecisionTree,95,0.4553422772617819,852,5
DecisionTree,73,0.5950395596835225,852,5
DecisionTree,28,0.4198830409356725,855,5
DecisionTree,16,0.6823563802745298,1404,5
DecisionTree,67,0.6354285714285715,875,5
DecisionTree,59,0.35134702401670725,848,5
DecisionTree,81,0.6726182003050329,1402,5
DecisionTree,2,0.6751881037112353,1404,5
DecisionTree,23,0.7351482479784367,1329,5
DecisionTree,78,0.3597701149425287,870,5
DecisionTree,46,0.3914584058475461,848,5
DecisionTree,7,0.5832577996715927,871,5
DecisionTree,39,0.5143071000855431,838,5
DecisionTree,84,0.48363261093911253,854,5
DecisionTree,62,0.4621787025703794,859,5
DecisionTree,43,0.6917543726811539,1408,5
DecisionTree,18,0.7036231884057972,1380,5
DecisionTree,26,0.6554915514592933,1399,5
DecisionTree,57,0.6365438483085543,1362,5
DecisionTree,69,0.5618981937602628,872,5
DecisionTree,32,0.7667120971202139,1406,5
DecisionTree,13,0.7567742755465174,1402,5
DecisionTree,48,0.48268537688827545,808,5
DecisionTree,76,0.6809578839239856,884,5
DecisionTree,90,0.5261688311688312,878,5
DecisionTree,29,0.7102407180742553,856,5
DecisionTree,17,0.5373916932192968,1338,5
DecisionTree,72,0.6249621239448814,832,5
DecisionTree,94,0.3445086705202312,865,5
DecisionTree,53,0.3059649122807017,853,5
DecisionTree,8,0.5947679260997956,1409,5
DecisionTree,79,0.6912365591397849,1396,5
DecisionTree,47,0.49112844198783473,1409,5
DecisionTree,22,0.4750920856147337,1227,5
DecisionTree,3,0.425287356321839,870,5
DecisionTree,80,0.5628477579256457,1416,5
DecisionTree,66,0.44676518883415434,873,5
DecisionTree,54,0.4670454545454545,880,5
DecisionTree,31,0.7072145417306708,1397,5
DecisionTree,10,0.27326591653610594,593,5
DecisionTree,75,0.5703849823367113,1392,5
DecisionTree,93,0.33727810650887574,845,5
DecisionTree,87,0.6647887323943662,1420,5
DecisionTree,61,0.509900524264014,861,5
DecisionTree,98,0.828168322905165,1426,5
DecisionTree,40,0.574468085106383,1410,5
DecisionTree,25,0.5069431375184836,862,5
DecisionTree,44,0.5376811594202898,1380,5
DecisionTree,0,0.6666466180487683,1413,5
DecisionTree,83,0.673831749965579,1349,5
DecisionTree,65,0.5601156069364162,866,5
DecisionTree,14,0.3225902921555095,809,5
DecisionTree,97,0.46037671761618026,1273,5
DecisionTree,50,0.37668883961566885,823,5
DecisionTree,88,0.5067666497203864,1401,5
DecisionTree,35,0.660084687175942,1318,5
DecisionTree,92,0.5447093596059114,872,5
DecisionTree,74,0.42689205538378816,862,5
DecisionTree,11,0.6284581260922166,864,5
DecisionTree,30,0.37176470588235294,850,5
DecisionTree,55,0.6013574660633484,848,5
DecisionTree,24,0.5229556650246305,872,5
DecisionTree,41,0.34133875106929,838,5
DecisionTree,99,0.5433526011560692,865,5
DecisionTree,60,0.7130713510512102,1408,5
DecisionTree,86,0.5930083987333058,1349,5
DecisionTree,5,0.49996013553916685,868,5
DecisionTree,64,0.3454813664596273,802,5
DecisionTree,82,0.6159987071751778,1362,5
DecisionTree,1,0.46195601621154747,868,5
DecisionTree,20,0.6084500141822027,1392,5
DecisionTree,45,0.6908898687501612,1391,5
DecisionTree,34,0.4322981366459627,805,5
DecisionTree,89,0.44662725779967155,871,5
DecisionTree,96,0.7208998357963875,874,5
DecisionTree,70,0.5053736654804271,1401,5
DecisionTree,15,0.6678420168909606,1412,5
Logit_Weighted_L2,91,0.6556962025316457,790,5
Logit_Weighted_L2,52,0.5450544662309368,677,5
Logit_Weighted_L2,36,0.5147286821705427,645,5
Logit_Weighted_L2,58,0.8434929139301763,1316,5
Logit_Weighted_L2,4,0.8529076435269513,1217,5
Logit_Weighted_L2,21,0.6609118798265101,687,5
Logit_Weighted_L2,71,0.8184552289815447,661,5
Logit_Weighted_L2,51,0.7646406587583058,1109,5
Logit_Weighted_L2,19,0.6923772609819121,858,5
Logit_Weighted_L2,27,0.6472326831675453,1389,5
Logit_Weighted_L2,42,0.6712643678160919,870,5
Logit_Weighted_L2,63,0.8760625317742756,1404,5
Logit_Weighted_L2,85,0.8208337569903407,1401,5
Logit_Weighted_L2,6,0.8330985915492958,1420,5
Logit_Weighted_L2,38,0.7188235294117649,850,5
Logit_Weighted_L2,49,0.7622397213598849,1409,5
Logit_Weighted_L2,77,0.8956393008337014,1389,5
Logit_Weighted_L2,12,0.6455003506220295,1388,5
Logit_Weighted_L2,33,0.7387414023839906,1267,5
Logit_Weighted_L2,56,0.7262968039823965,833,5
Logit_Weighted_L2,68,0.7728571428571428,1400,5
Logit_Weighted_L2,37,0.6662318220701453,839,5
Logit_Weighted_L2,9,0.6124137931034482,872,5
Logit_Weighted_L2,95,0.6913037495700035,852,5
Logit_Weighted_L2,73,0.8532507739938081,852,5
Logit_Weighted_L2,28,0.6725146198830411,855,5
Logit_Weighted_L2,16,0.822646161667514,1404,5
Logit_Weighted_L2,67,0.8011428571428573,875,5
Logit_Weighted_L2,59,0.528284023668639,848,5
Logit_Weighted_L2,81,0.8309684799186579,1402,5
Logit_Weighted_L2,2,0.8169471276054907,1404,5
Logit_Weighted_L2,23,0.8848914739679387,1329,5
Logit_Weighted_L2,78,0.5724137931034482,870,5
Logit_Weighted_L2,46,0.518893143056039,848,5
Logit_Weighted_L2,7,0.7807159277504104,871,5
Logit_Weighted_L2,39,0.7983247790134018,838,5
Logit_Weighted_L2,84,0.704953560371517,854,5
Logit_Weighted_L2,62,0.667061063511492,859,5
Logit_Weighted_L2,43,0.8941899497741097,1408,5
Logit_Weighted_L2,18,0.8615942028985508,1380,5
Logit_Weighted_L2,26,0.7870122887864823,1399,5
